"iso3","n_papers","countryName","pm25Avg","n_surveys","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un"
"RUS",1,"Russia",13.1,14,144497553.24,"low",0,0,"Russian Federation","Europe & Central Asia","High income","IBRD","Europe","Europe"
"RWA",1,"Rwanda",30.3,0,11617555.454,"high",0,0,"Rwanda","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"SAU",1,"Saudi Arabia",57.3,0,32784619.5,"very high",0,0,"Saudi Arabia","Middle East & North Africa","High income","","Asia","Asia"
"SDN",0,"Sudan",29.6,3,38211004.412,"high",0,0,"Sudan","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"SEN",1,"Senegal",31.8,3,14371998.752,"high",0,0,"Senegal","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"SGP",6,"Singapore",23.3,3,5650073.984147,"medium",0,0,"Singapore","East Asia & Pacific","High income","","Asia","Asia"
"SHN",0,"Saint Helena",3.5,0,5496.999991,"very low",0,0,NA,NA,NA,NA,"Seven seas (open ocean)","Africa"
"SLB",0,"Solomon Islands",6.5,0,612660.00021,"very low",0,0,"Solomon Islands","East Asia & Pacific","Lower middle income","IDA","Oceania","Oceania"
"SLE",0,"Sierra Leone",18.5,2,7310110.355,"medium",0,0,"Sierra Leone","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"SLV",0,"El Salvador",24.6,1,6228156.686,"medium",0,0,"El Salvador","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas"
"SMR",0,"San Marino",11.7,0,31708.269159,"low",0,0,"San Marino","Europe & Central Asia","High income","","Europe","Europe"
"SOM",0,"Somalia",12.1,0,13804335.713,"low",0,0,"Somalia","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"SPM",0,"Saint Pierre and Miquelon",3.8,0,5977.999999,"very low",0,0,NA,NA,NA,NA,"North America","Americas"
"SRB",3,"Serbia",18.5,5,7574464.654,"medium",0,0,"Serbia","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"SSD",0,"South Sudan",21.6,0,11156261.732,"medium",0,0,"South Sudan","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
"STP",0,"São Tomé and Príncipe",14.6,2,201123.99994,"low",0,0,"São Tomé and Príncipe","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa"
"SUR",0,"Suriname",15.4,0,581633.9297,"medium",0,0,"Suriname","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas"
"SVK",1,"Slovakia",14.1,96,5424020.0425,"low",0,0,"Slovak Republic","Europe & Central Asia","High income","","Europe","Europe"
"SVN",2,"Slovenia",13.3,95,2047926.18,"low",0,0,"Slovenia","Europe & Central Asia","High income","","Europe","Europe"
