"iso3","eurobarometerSource","n_papers","countryName","pm25Avg","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un","n_surveys"
"CPV",0,0,"Cape Verde",14.1,552166.0004,"low",0,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",2
"CPV",1,0,"Cape Verde",14.1,552166.0004,"low",0,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income","Blend","Africa","Africa",0
"CRI",0,0,"Costa Rica",18.1,4903346.81,"medium",0,0,"Costa Rica","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",0
"CRI",1,0,"Costa Rica",18.1,4903346.81,"medium",0,0,"Costa Rica","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",0
"CUB",0,0,"Cuba",9.3,11339894,"very low",0,0,"Cuba","Latin America & Caribbean","Upper middle income","","North America","Americas",0
"CUB",1,0,"Cuba",9.3,11339894,"very low",0,0,"Cuba","Latin America & Caribbean","Upper middle income","","North America","Americas",0
"CUW",0,0,"Curaçao",9.5,169571.99992,"very low",0,0,"Curaçao","Latin America & Caribbean","High income","","North America","Americas",0
"CUW",1,0,"Curaçao",9.5,169571.99992,"very low",0,0,"Curaçao","Latin America & Caribbean","High income","","North America","Americas",0
"CXR",0,0,"Christmas Island",6.1,2527.516634,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"CXR",1,0,"Christmas Island",6.1,2527.516634,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"CYM",0,0,"Cayman Islands",9.4,60910.999973,"very low",0,0,"Cayman Islands","Latin America & Caribbean","High income","","North America","Americas",0
"CYM",1,0,"Cayman Islands",9.4,60910.999973,"very low",0,0,"Cayman Islands","Latin America & Caribbean","High income","","North America","Americas",0
"CYP",0,1,"Cyprus",14.9,829545.2764,"low",0,0,"Cyprus","Europe & Central Asia","High income","","Asia","Asia",5
"CYP",1,1,"Cyprus",14.9,829545.2764,"low",0,0,"Cyprus","Europe & Central Asia","High income","","Asia","Asia",80
"CZE",0,2,"Czech Republic",13.3,10528713.864,"low",0,0,"Czechia","Europe & Central Asia","High income","","Europe","Europe",6
"CZE",1,2,"Czech Republic",13.3,10528713.864,"low",0,0,"Czechia","Europe & Central Asia","High income","","Europe","Europe",82
"DEU",0,7,"Germany",9.6,82149541.57,"very low",0,0,"Germany","Europe & Central Asia","High income","","Europe","Europe",21
"DEU",1,7,"Germany",9.6,82149541.57,"very low",0,0,"Germany","Europe & Central Asia","High income","","Europe","Europe",95
"DJI",0,0,"Djibouti",24.6,1012339.9909,"medium",0,0,"Djibouti","Middle East & North Africa","Lower middle income","IDA","Africa","Africa",0
"DJI",1,0,"Djibouti",24.6,1012339.9909,"medium",0,0,"Djibouti","Middle East & North Africa","Lower middle income","IDA","Africa","Africa",0
"DMA",0,0,"Dominica",9.1,70007.00001,"very low",0,0,"Dominica","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"DMA",1,0,"Dominica",9.1,70007.00001,"very low",0,0,"Dominica","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"DNK",0,3,"Denmark",8.9,5677894.974,"very low",0,0,"Denmark","Europe & Central Asia","High income","","Europe","Europe",19
"DNK",1,3,"Denmark",8.9,5677894.974,"very low",0,0,"Denmark","Europe & Central Asia","High income","","Europe","Europe",93
"DOM",0,0,"Dominican Republic",16.1,10391057.897,"medium",0,0,"Dominican Republic","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",0
"DOM",1,0,"Dominican Republic",16.1,10391057.897,"medium",0,0,"Dominican Republic","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",0
"DZA",0,0,"Algeria",13,39544078.244,"low",0,0,"Algeria","Middle East & North Africa","Upper middle income","IBRD","Africa","Africa",1
"DZA",1,0,"Algeria",13,39544078.244,"low",0,0,"Algeria","Middle East & North Africa","Upper middle income","IBRD","Africa","Africa",0
"ECU",0,1,"Ecuador",19.5,16196517.256,"medium",0,0,"Ecuador","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",1
"ECU",1,1,"Ecuador",19.5,16196517.256,"medium",0,0,"Ecuador","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",0
"EGY",0,1,"Egypt",50.5,97730135.631,"very high",0,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income","IBRD","Africa","Africa",3
"EGY",1,1,"Egypt",50.5,97730135.631,"very high",0,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income","IBRD","Africa","Africa",0
"ERI",0,0,"Eritrea",22.2,3326554.6487,"medium",0,0,"Eritrea","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"ERI",1,0,"Eritrea",22.2,3326554.6487,"medium",0,0,"Eritrea","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"ESH",0,0,"Western Sahara",41.1,491846.41847,"very high",0,0,NA,NA,NA,NA,"Africa","Africa",0
"ESH",1,0,"Western Sahara",41.1,491846.41847,"very high",0,0,NA,NA,NA,NA,"Africa","Africa",0
"ESP",0,10,"Spain",10.1,46428809.67,"low",0,0,"Spain","Europe & Central Asia","High income","","Europe","Europe",20
"ESP",1,10,"Spain",10.1,46428809.67,"low",0,0,"Spain","Europe & Central Asia","High income","","Europe","Europe",95
"EST",0,3,"Estonia",6.8,1311099.545,"very low",0,0,"Estonia","Europe & Central Asia","High income","","Europe","Europe",4
"EST",1,3,"Estonia",6.8,1311099.545,"very low",0,0,"Estonia","Europe & Central Asia","High income","","Europe","Europe",80
"ETH",0,0,"Ethiopia",25.5,102345078.66,"high",0,0,"Ethiopia","Sub-Saharan Africa","Low income","IDA","Africa","Africa",3
"ETH",1,0,"Ethiopia",25.5,102345078.66,"high",0,0,"Ethiopia","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"FIN",0,7,"Finland",5.1,5447090.285,"very low",0,0,"Finland","Europe & Central Asia","High income","","Europe","Europe",15
"FIN",1,7,"Finland",5.1,5447090.285,"very low",0,0,"Finland","Europe & Central Asia","High income","","Europe","Europe",92
"FJI",0,0,"Fiji",5.4,917200,"very low",0,0,"Fiji","East Asia & Pacific","Upper middle income","Blend","Oceania","Oceania",0
"FJI",1,0,"Fiji",5.4,917200,"very low",0,0,"Fiji","East Asia & Pacific","Upper middle income","Blend","Oceania","Oceania",0
"FLK",0,0,"Falkland Islands",4.6,3408.000011,"very low",0,0,NA,NA,NA,NA,"South America","Americas",0
"FLK",1,0,"Falkland Islands",4.6,3408.000011,"very low",0,0,NA,NA,NA,NA,"South America","Americas",0
"FRA",0,10,"France",9.4,63821694.19,"very low",0,0,"France","Europe & Central Asia","High income","","Europe","Europe",20
"FRA",1,10,"France",9.4,63821694.19,"very low",0,0,"France","Europe & Central Asia","High income","","Europe","Europe",95
"FRO",0,0,"Faroe Islands",4.9,48815.99988,"very low",0,0,"Faroe Islands","Europe & Central Asia","High income","","Europe","Europe",0
"FRO",1,0,"Faroe Islands",4.9,48815.99988,"very low",0,0,"Faroe Islands","Europe & Central Asia","High income","","Europe","Europe",0
"GAB",0,0,"Gabon",23.7,2045204.9733,"medium",0,0,"Gabon","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",2
"GAB",1,0,"Gabon",23.7,2045204.9733,"medium",0,0,"Gabon","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",0
"GBR",0,23,"United Kingdom",9.9,65224257.284,"very low",0,0,"United Kingdom","Europe & Central Asia","High income","","Europe","Europe",10
"GBR",1,23,"United Kingdom",9.9,65224257.284,"very low",0,0,"United Kingdom","Europe & Central Asia","High income","","Europe","Europe",73
"GEO",0,1,"Georgia",15.7,3772078.135,"medium",0,0,"Georgia","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",0
"GEO",1,1,"Georgia",15.7,3772078.135,"medium",0,0,"Georgia","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",0
"GGY",0,0,"Guernsey",7.6,61629.000038,"very low",0,0,NA,NA,NA,NA,"Europe","Europe",0
"GGY",1,0,"Guernsey",7.6,61629.000038,"very low",0,0,NA,NA,NA,NA,"Europe","Europe",0
"GHA",0,3,"Ghana",26.9,28974454.991,"high",0,0,"Ghana","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",3
"GHA",1,3,"Ghana",26.9,28974454.991,"high",0,0,"Ghana","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
"GIB",0,0,"Gibraltar",10.4,30922.28492297,"low",0,0,"Gibraltar","Europe & Central Asia","High income","","Europe","Europe",0
"GIB",1,0,"Gibraltar",10.4,30922.28492297,"low",0,0,"Gibraltar","Europe & Central Asia","High income","","Europe","Europe",0
"GIN",0,0,"Guinea",24.3,11627868.888,"medium",0,0,"Guinea","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",2
"GIN",1,0,"Guinea",24.3,11627868.888,"medium",0,0,"Guinea","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
"GLP",0,0,"Guadeloupe",9.2,399088.9999,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"GLP",1,0,"Guadeloupe",9.2,399088.9999,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"GMB",0,0,"Gambia",30.7,2256690.1121,"high",0,0,"Gambia, The","Sub-Saharan Africa","Low income","IDA","Africa","Africa",2
"GMB",1,0,"Gambia",30.7,2256690.1121,"high",0,0,"Gambia, The","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"GNB",0,0,"Guinea-Bissau",26.3,1789591.5445,"high",0,0,"Guinea-Bissau","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"GNB",1,0,"Guinea-Bissau",26.3,1789591.5445,"high",0,0,"Guinea-Bissau","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"GNQ",0,0,"Equatorial Guinea",16,1325245.7975,"medium",0,0,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",0
"GNQ",1,0,"Equatorial Guinea",16,1325245.7975,"medium",0,0,"Equatorial Guinea","Sub-Saharan Africa","Upper middle income","IBRD","Africa","Africa",0
"GRC",0,6,"Greece",14.8,10807782.015,"low",0,0,"Greece","Europe & Central Asia","High income","","Europe","Europe",5
"GRC",1,6,"Greece",14.8,10807782.015,"low",0,0,"Greece","Europe & Central Asia","High income","","Europe","Europe",95
"GRD",0,0,"Grenada",10.9,118979.99989,"low",0,0,"Grenada","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"GRD",1,0,"Grenada",10.9,118979.99989,"low",0,0,"Grenada","Latin America & Caribbean","Upper middle income","Blend","North America","Americas",0
"GRL",0,0,"Greenland",2.4,55894.99993,"very low",0,0,"Greenland","Europe & Central Asia","High income","","North America","Americas",0
"GRL",1,0,"Greenland",2.4,55894.99993,"very low",0,0,"Greenland","Europe & Central Asia","High income","","North America","Americas",0
"GTM",0,1,"Guatemala",22,15997665.775,"medium",0,0,"Guatemala","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",1
"GTM",1,1,"Guatemala",22,15997665.775,"medium",0,0,"Guatemala","Latin America & Caribbean","Upper middle income","IBRD","North America","Americas",0
"GUF",0,0,"French Guiana",14.8,255862.55583,"low",0,0,NA,NA,NA,NA,NA,NA,0
"GUF",1,0,"French Guiana",14.8,255862.55583,"low",0,0,NA,NA,NA,NA,NA,NA,0
"GUM",0,0,"Guam",3.5,167977.99998,"very low",0,0,"Guam","East Asia & Pacific","High income","","Oceania","Oceania",0
"GUM",1,0,"Guam",3.5,167977.99998,"very low",0,0,"Guam","East Asia & Pacific","High income","","Oceania","Oceania",0
"GUY",0,0,"Guyana",13.2,750300.3958,"low",0,0,"Guyana","Latin America & Caribbean","High income","IDA","South America","Americas",0
"GUY",1,0,"Guyana",13.2,750300.3958,"low",0,0,"Guyana","Latin America & Caribbean","High income","IDA","South America","Americas",0
"HKG",0,5,"Hong Kong",20.2,NA,"medium",0,0,"Hong Kong SAR, China","East Asia & Pacific","High income","","Asia","Asia",2
"HKG",1,5,"Hong Kong",20.2,NA,"medium",0,0,"Hong Kong SAR, China","East Asia & Pacific","High income","","Asia","Asia",0
"HND",0,0,"Honduras",21.8,9305049.743,"medium",0,0,"Honduras","Latin America & Caribbean","Lower middle income","IDA","North America","Americas",0
